sample_id,sample_type,organism_species,organism_family,organism_genus,species_organe,species_selected,species_organe_selected
050418_LP__P03_35_pos,added,Waltheria indica,Malvaceae,Waltheria,Waltheria indica aerial parts 2018,Waltheria indica,Waltheria indica aerial parts 2018
050418_LP__P03_36_pos,added,Waltheria indica,Malvaceae,Waltheria,Waltheria indica roots 2018,Waltheria indica,Waltheria indica roots 2018
140424_PMA_SC_AP_Wi_DCM_ddMS2_pos,added,Waltheria indica,Malvaceae,Waltheria,Waltheria indica aerial parts 2014,Waltheria indica,Waltheria indica aerial parts 2014
