sample_id,sample_type,organism_species,organism_family,organism_genus,species_organe,species_selected,species_organe_selected
VGF138_E11,sample,Pistia stratiotes,Araceae,Pistia,Pistia stratiotes leaves,Other,Other
VGF138_F02,sample,Paraboea rufescens,Gesneriaceae,Paraboea,Paraboea rufescens multiple,Other,Other
VGF138_F03,sample,Tetradium trichotomum,Rutaceae,Tetradium,Tetradium trichotomum green stems,Other,Other
VGF138_F04,sample,Nicandra physalodes,Solanaceae,Nicandra,Nicandra physalodes roots,Other,Other
VGF138_F05,sample,Pilea plataniflora,Urticaceae,Pilea,Pilea plataniflora green stems,Other,Other
VGF138_F06,sample,Stellaria vestita,Caryophyllaceae,Stellaria,Stellaria vestita multiple,Other,Other
VGF138_F07,sample,Vaccinium fragile,Ericaceae,Vaccinium,Vaccinium fragile green stems,Other,Other
VGF138_F08,sample,Zanthoxylum acanthopodium,Rutaceae,Zanthoxylum,Zanthoxylum acanthopodium fruits,Other,Other
VGF138_F09,sample,Calliandra haematocephala,Fabaceae,Calliandra,Calliandra haematocephala bark,Other,Other
VGF138_F10,sample,Hemarthria compressa,Poaceae,Hemarthria,Hemarthria compressa roots,Other,Other
VGF138_F11,sample,Pistia stratiotes,Araceae,Pistia,Pistia stratiotes roots,Other,Other
VGF138_G02,sample,Buddleja officinalis,Scrophulariaceae,Buddleja,Buddleja officinalis roots,Other,Other
VGF138_G03,sample,Eupatorium heterophyllum,Asteraceae,Eupatorium,Eupatorium heterophyllum multiple,Other,Other
VGF138_G04,sample,Nicandra physalodes,Solanaceae,Nicandra,Nicandra physalodes green stems,Other,Other
VGF138_G05,sample,Pilea plataniflora,Urticaceae,Pilea,Pilea plataniflora leaves,Other,Other
VGF138_G06,sample,Trichosanthes ovigera,Cucurbitaceae,Trichosanthes,Trichosanthes ovigera roots,Other,Other
VGF138_G07,sample,Vaccinium fragile,Ericaceae,Vaccinium,Vaccinium fragile leaves,Other,Other
VGF138_G08,sample,Apluda mutica,Poaceae,Apluda,Apluda mutica flowers,Other,Other
VGF138_G09,sample,Citrus japonica,Rutaceae,Citrus,Citrus japonica leaves,Other,Other
VGF138_G10,sample,Ichnanthus pallens,Poaceae,Ichnanthus,Ichnanthus pallens multiple,Other,Other
VGF138_G11,sample,Justicia pectinata,Acanthaceae,Justicia,Justicia pectinata multiple,Other,Other
VGF138_H02,sample,Buddleja officinalis,Scrophulariaceae,Buddleja,Buddleja officinalis green stems,Other,Other
VGF138_H03,sample,Ficus tikoua,Moraceae,Ficus,Ficus tikoua roots,Other,Other
VGF138_H04,sample,Nicandra physalodes,Solanaceae,Nicandra,Nicandra physalodes leaves,Other,Other
VGF138_H05,sample,Pimpinella candolleana,Apiaceae,Pimpinella,Pimpinella candolleana multiple,Other,Other
VGF138_H06,sample,Sambucus javanica,Adoxaceae,Sambucus,Sambucus javanica green stems,Other,Other
VGF138_H07,sample,Viburnum foetidum,Adoxaceae,Viburnum,Viburnum foetidum roots,Other,Other
VGF138_H08,sample,Artabotrys hexapetalus,Annonaceae,Artabotrys,Artabotrys hexapetalus leaves,Other,Other
VGF138_H09,sample,Codariocalyx gyroides,Fabaceae,Codariocalyx,Codariocalyx gyroides leaves,Other,Other
VGF138_H10,sample,Ichnanthus pallens,Poaceae,Ichnanthus,Ichnanthus pallens roots,Other,Other
VGF138_H11,sample,Justicia pectinata,Acanthaceae,Justicia,Justicia pectinata roots,Other,Other
VGF139_A02,sample,Pterocymbium dussaudii,Malvaceae,Pterocymbium,Pterocymbium dussaudii woody stems,Other,Other
VGF139_A03,sample,Stephania rotunda,Menispermaceae,Stephania,Stephania rotunda roots,Other,Other
VGF139_A04,sample,Decaschistia parviflora,Malvaceae,Decaschistia,Decaschistia parviflora woody stems,Other,Other
VGF139_A05,sample,Aglaomorpha bonii,Polypodiaceae,Aglaomorpha,Aglaomorpha bonii woody stems,Other,Other
VGF139_A06,sample,Barringtonia longipes,Lecythidaceae,Barringtonia,Barringtonia longipes woody stems,Other,Other
VGF139_A07,sample,Cissus triloba,Vitaceae,Cissus,Cissus triloba multiple,Other,Other
VGF139_A08,sample,Pachyrhizus erosus,Fabaceae,Pachyrhizus,Pachyrhizus erosus woody stems,Other,Other
VGF139_A09,sample,Elaeagnus latifolia,Elaeagnaceae,Elaeagnus,Elaeagnus latifolia roots,Other,Other
VGF139_A10,sample,Ficus exasperata,Moraceae,Ficus,Ficus exasperata green stems,Other,Other
VGF139_A11,sample,Copaifera salikounda,Fabaceae,Copaifera,Copaifera salikounda bark,Other,Other
VGF139_B02,sample,Pterocymbium dussaudii,Malvaceae,Pterocymbium,Pterocymbium dussaudii roots,Other,Other
VGF139_B03,sample,Bambusa spinosa,Poaceae,Bambusa,Bambusa spinosa leaves,Other,Other
VGF139_B04,sample,Decaschistia parviflora,Malvaceae,Decaschistia,Decaschistia parviflora roots,Other,Other
VGF139_B05,sample,Selaginella delicatula,Selaginellaceae,Selaginella,Selaginella delicatula leaves,Other,Other
VGF139_B06,sample,Ischaemum ciliare,Poaceae,Ischaemum,Ischaemum ciliare leaves,Other,Other
VGF139_B07,sample,Melodinus cochinchinensis,Apocynaceae,Melodinus,Melodinus cochinchinensis leaves,Other,Other
VGF139_B08,sample,Pachyrhizus erosus,Fabaceae,Pachyrhizus,Pachyrhizus erosus roots,Other,Other
VGF139_B09,sample,Diplazium esculentum,Athyriaceae,Diplazium,Diplazium esculentum multiple,Other,Other
VGF139_B10,sample,Cnestis ferruginea,Connaraceae,Cnestis,Cnestis ferruginea green stems,Other,Other
VGF139_B11,sample,Copaifera salikounda,Fabaceae,Copaifera,Copaifera salikounda wood,Other,Other
VGF139_C02,sample,Saccharum arundinaceum,Poaceae,Saccharum,Saccharum arundinaceum leaves,Other,Other
VGF139_C03,sample,Bambusa spinosa,Poaceae,Bambusa,Bambusa spinosa woody stems,Other,Other
VGF139_C04,sample,Persicaria minor,Polygonaceae,Persicaria,Persicaria minor leaves,Other,Other
VGF139_C05,sample,Selaginella delicatula,Selaginellaceae,Selaginella,Selaginella delicatula multiple,Other,Other
VGF139_C06,sample,Ischaemum ciliare,Poaceae,Ischaemum,Ischaemum ciliare woody stems,Other,Other
VGF139_C07,sample,Melodinus cochinchinensis,Apocynaceae,Melodinus,Melodinus cochinchinensis woody stems,Other,Other
VGF139_C08,sample,Tinospora baenzigeri,Menispermaceae,Tinospora,Tinospora baenzigeri multiple,Other,Other
VGF139_C09,sample,Entandrophragma utile,Meliaceae,Entandrophragma,Entandrophragma utile bark,Other,Other
VGF139_C10,sample,Trilepisium madagascariensis,Moraceae,Trilepisium,Trilepisium madagascariensis bark,Other,Other
VGF139_C11,sample,Zanha golungensis,Sapindaceae,Zanha,Zanha golungensis bark,Other,Other
VGF139_D02,sample,Saccharum arundinaceum,Poaceae,Saccharum,Saccharum arundinaceum woody stems,Other,Other
VGF139_D03,sample,Bambusa spinosa,Poaceae,Bambusa,Bambusa spinosa roots,Other,Other
VGF139_D04,sample,Persicaria minor,Polygonaceae,Persicaria,Persicaria minor multiple,Other,Other
VGF139_D05,sample,Mangifera pentandra,Anacardiaceae,Mangifera,Mangifera pentandra leaves,Other,Other
VGF139_D06,sample,Ischaemum ciliare,Poaceae,Ischaemum,Ischaemum ciliare roots,Other,Other
VGF139_D07,sample,Melodinus cochinchinensis,Apocynaceae,Melodinus,Melodinus cochinchinensis roots,Other,Other
VGF139_D08,sample,Calycopteris floribunda,Combretaceae,Calycopteris,Calycopteris floribunda flowers,Other,Other
VGF139_D09,sample,Ceiba pentandra,Malvaceae,Ceiba,Ceiba pentandra bark,Other,Other
VGF139_D10,sample,Erythrophleum suaveolens,Fabaceae,Erythrophleum,Erythrophleum suaveolens bark,Other,Other
VGF139_D11,sample,Mitragyna stipulosa,Rubiaceae,Mitragyna,Mitragyna stipulosa bark,Other,Other
VGF139_E02,sample,Saccharum arundinaceum,Poaceae,Saccharum,Saccharum arundinaceum roots,Other,Other
VGF139_E03,sample,Tetrastigma pachyphyllum,Vitaceae,Tetrastigma,Tetrastigma pachyphyllum leaves,Other,Other
VGF139_E04,sample,Cyperus diffusus,Cyperaceae,Cyperus,Cyperus diffusus leaves,Other,Other
VGF139_E05,sample,Mangifera pentandra,Anacardiaceae,Mangifera,Mangifera pentandra woody stems,Other,Other
VGF139_E06,sample,Bulbophyllum reclusum,Orchidaceae,Bulbophyllum,Bulbophyllum reclusum leaves,Other,Other
VGF139_E07,sample,Micromelum hirsutum,Rutaceae,Micromelum,Micromelum hirsutum leaves,Other,Other
VGF139_E08,sample,Calycopteris floribunda,Combretaceae,Calycopteris,Calycopteris floribunda bark,Other,Other
VGF139_E09,sample,Ceiba pentandra,Malvaceae,Ceiba,Ceiba pentandra leaves,Other,Other
VGF139_E10,sample,Corynanthe pachyceras,Rubiaceae,Corynanthe,Corynanthe pachyceras bark,Other,Other
VGF139_E11,sample,Celtis adolfi-friderici,Cannabaceae,Celtis,Celtis adolfi-friderici bark,Other,Other
VGF139_F02,sample,Selaginella moellendorffii,Selaginellaceae,Selaginella,Selaginella moellendorffii multiple,Other,Other
VGF139_F03,sample,Vernonia elaeagnifolia,Asteraceae,Vernonia,Vernonia elaeagnifolia leaves,Other,Other
VGF139_F04,sample,Cyperus diffusus,Cyperaceae,Cyperus,Cyperus diffusus woody stems,Other,Other
VGF139_F05,sample,Mangifera pentandra,Anacardiaceae,Mangifera,Mangifera pentandra roots,Other,Other
VGF139_F06,sample,Bulbophyllum reclusum,Orchidaceae,Bulbophyllum,Bulbophyllum reclusum multiple,Other,Other
VGF139_F07,sample,Micromelum hirsutum,Rutaceae,Micromelum,Micromelum hirsutum woody stems,Other,Other
VGF139_F08,sample,Bischofia javanica,Phyllanthaceae,Bischofia,Bischofia javanica leaves,Other,Other
VGF139_F09,sample,Ceiba pentandra,Malvaceae,Ceiba,Ceiba pentandra wood,Other,Other
VGF139_F10,sample,Diospyros crassiflora,Ebenaceae,Diospyros,Diospyros crassiflora bark,Other,Other
VGF139_F11,sample,Staudtia kamerunensis,Myristicaceae,Staudtia,Staudtia kamerunensis bark,Other,Other
VGF139_G02,sample,Stenochlaena palustris,Blechnaceae,Stenochlaena,Stenochlaena palustris multiple,Other,Other
VGF139_G03,sample,Vernonia elaeagnifolia,Asteraceae,Vernonia,Vernonia elaeagnifolia woody stems,Other,Other
VGF139_G04,sample,Cyperus diffusus,Cyperaceae,Cyperus,Cyperus diffusus roots,Other,Other
VGF139_G05,sample,Homalomena aromatica,Araceae,Homalomena,Homalomena aromatica multiple,Other,Other
VGF139_G06,sample,Moringa oleifera,Moringaceae,Moringa,Moringa oleifera roots,Other,Other
VGF139_G07,sample,Micromelum hirsutum,Rutaceae,Micromelum,Micromelum hirsutum roots,Other,Other
VGF139_G08,sample,Lagenaria siceraria,Cucurbitaceae,Lagenaria,Lagenaria siceraria leaves,Other,Other
VGF139_G09,sample,Ficus exasperata,Moraceae,Ficus,Ficus exasperata bark,Other,Other
VGF139_G10,sample,Anonidium mannii,Annonaceae,Anonidium,Anonidium mannii bark,Other,Other
VGF139_G11,sample,Staudtia kamerunensis,Myristicaceae,Staudtia,Staudtia kamerunensis leaves,Other,Other
VGF139_H02,sample,Stenochlaena palustris,Blechnaceae,Stenochlaena,Stenochlaena palustris roots,Other,Other
VGF139_H03,sample,Decaschistia parviflora,Malvaceae,Decaschistia,Decaschistia parviflora leaves,Other,Other
VGF139_H04,sample,Aglaomorpha bonii,Polypodiaceae,Aglaomorpha,Aglaomorpha bonii leaves,Other,Other
VGF139_H05,sample,Barringtonia longipes,Lecythidaceae,Barringtonia,Barringtonia longipes leaves,Other,Other
VGF139_H06,sample,Cissus triloba,Vitaceae,Cissus,Cissus triloba leaves,Other,Other
VGF139_H07,sample,Pachyrhizus erosus,Fabaceae,Pachyrhizus,Pachyrhizus erosus leaves,Other,Other
VGF139_H08,sample,Lagenaria siceraria,Cucurbitaceae,Lagenaria,Lagenaria siceraria multiple,Other,Other
VGF139_H09,sample,Ficus exasperata,Moraceae,Ficus,Ficus exasperata leaves,Other,Other
VGF139_H10,sample,Petersianthus macrocarpus,Lecythidaceae,Petersianthus,Petersianthus macrocarpus bark,Other,Other
VGF139_H11,sample,Staudtia kamerunensis,Myristicaceae,Staudtia,Staudtia kamerunensis green stems,Other,Other
VGF140_A02,sample,Strombosia grandifolia,Strombosiaceae,Strombosia,Strombosia grandifolia bark,Other,Other
VGF140_A03,sample,Mallotus oppositifolius,Euphorbiaceae,Mallotus,Mallotus oppositifolius bark,Other,Other
VGF140_A04,sample,Aubrevillea kerstingii,Fabaceae,Aubrevillea,Aubrevillea kerstingii leaves,Other,Other
VGF140_A05,sample,Triplochiton scleroxylon,Malvaceae,Triplochiton,Triplochiton scleroxylon leaves,Other,Other
VGF140_A06,sample,Pycnocoma chevalieri,Euphorbiaceae,Pycnocoma,Pycnocoma chevalieri leaves,Other,Other
VGF140_A07,sample,Platycerium elephantotis,Polypodiaceae,Platycerium,Platycerium elephantotis leaves,Other,Other
VGF140_A08,sample,Leucanthemum vulgare,Asteraceae,Leucanthemum,Leucanthemum vulgare multiple,Other,Other
VGF140_A09,sample,Succisa pratensis,Caprifoliaceae,Succisa,Succisa pratensis roots,Other,Other
VGF140_A10,sample,Musanga cecropioides,Urticaceae,Musanga,Musanga cecropioides bark,Other,Other
VGF140_A11,sample,Craterispermum laurinum,Rubiaceae,Craterispermum,Craterispermum laurinum leaves,Other,Other
VGF140_B02,sample,Autranella congolensis,Sapotaceae,Autranella,Autranella congolensis bark,Other,Other
VGF140_B03,sample,Dalbergia sp.,Fabaceae,Dalbergia,Dalbergia sp. bark,Other,Other
VGF140_B04,sample,Aubrevillea kerstingii,Fabaceae,Aubrevillea,Aubrevillea kerstingii green stems,Other,Other
VGF140_B05,sample,Cola urceolata,Malvaceae,Cola,Cola urceolata green stems,Other,Other
VGF140_B06,sample,Pycnocoma chevalieri,Euphorbiaceae,Pycnocoma,Pycnocoma chevalieri green stems,Other,Other
VGF140_B07,sample,Platycerium elephantotis,Polypodiaceae,Platycerium,Platycerium elephantotis leaves,Other,Other
VGF140_B08,sample,Phillyrea latifolia,Oleaceae,Phillyrea,Phillyrea latifolia multiple,Other,Other
VGF140_B09,sample,Rauvolfia vomitoria,Apocynaceae,Rauvolfia,Rauvolfia vomitoria leaves,Other,Other
VGF140_B10,sample,Caloncoba welwitschii,Achariaceae,Caloncoba,Caloncoba welwitschii green stems,Other,Other
VGF140_B11,sample,Craterispermum laurinum,Rubiaceae,Craterispermum,Craterispermum laurinum green stems,Other,Other
VGF140_C02,sample,Afzelia bipindensis,Fabaceae,Afzelia,Afzelia bipindensis bark,Other,Other
VGF140_C03,sample,Mallotus oppositifolius,Euphorbiaceae,Mallotus,Mallotus oppositifolius green stems,Other,Other
VGF140_C04,sample,Olax subscorpioidea,Olacaceae,Olax,Olax subscorpioidea leaves,Other,Other
VGF140_C05,sample,Whitfieldia elongata,Acanthaceae,Whitfieldia,Whitfieldia elongata roots,Other,Other
VGF140_C06,sample,Lovoa trichilioides,Meliaceae,Lovoa,Lovoa trichilioides bark,Other,Other
VGF140_C07,sample,Pseudoturritis turrita,Brassicaceae,Pseudoturritis,Pseudoturritis turrita multiple,Other,Other
VGF140_C08,sample,Lactuca muralis,Asteraceae,Lactuca,Lactuca muralis multiple,Other,Other
VGF140_C09,sample,Rauvolfia vomitoria,Apocynaceae,Rauvolfia,Rauvolfia vomitoria green stems,Other,Other
VGF140_C10,sample,Tabernaemontana crassa,Apocynaceae,Tabernaemontana,Tabernaemontana crassa leaves,Other,Other
VGF140_C11,sample,Anonidium mannii,Annonaceae,Anonidium,Anonidium mannii leaves,Other,Other
VGF140_D02,sample,Piptadeniastrum africanum,Fabaceae,Piptadeniastrum,Piptadeniastrum africanum bark,Other,Other
VGF140_D03,sample,Alchornea laxiflora,Euphorbiaceae,Alchornea,Alchornea laxiflora green stems,Other,Other
VGF140_D04,sample,Olax subscorpioidea,Olacaceae,Olax,Olax subscorpioidea green stems,Other,Other
VGF140_D05,sample,Sterculia oblonga,Malvaceae,Sterculia,Sterculia oblonga wood,Other,Other
VGF140_D06,sample,Lovoa trichilioides,Meliaceae,Lovoa,Lovoa trichilioides wood,Other,Other
VGF140_D07,sample,Hylotelephium telephium,Crassulaceae,Hylotelephium,Hylotelephium telephium multiple,Other,Other
VGF140_D08,sample,Lapsana communis,Asteraceae,Lapsana,Lapsana communis multiple,Other,Other
VGF140_D09,sample,Triplochiton scleroxylon,Malvaceae,Triplochiton,Triplochiton scleroxylon bark,Other,Other
VGF140_D10,sample,Tabernaemontana crassa,Apocynaceae,Tabernaemontana,Tabernaemontana crassa green stems,Other,Other
VGF140_D11,sample,Anonidium mannii,Annonaceae,Anonidium,Anonidium mannii green stems,Other,Other
VGF140_E02,sample,Alstonia congensis,Apocynaceae,Alstonia,Alstonia congensis bark,Other,Other
VGF140_E03,sample,Anogeissus sp.,Combretaceae,Anogeissus,Anogeissus sp. bark,Other,Other
VGF140_E04,sample,Triplochiton scleroxylon,Malvaceae,Triplochiton,Triplochiton scleroxylon green stems,Other,Other
VGF140_E05,sample,Trichilia prieureana,Meliaceae,Trichilia,Trichilia prieureana bark,Other,Other
VGF140_E06,sample,Gmelina arborea,Lamiaceae,Gmelina,Gmelina arborea wood,Other,Other
VGF140_E07,sample,Ribes alpinum,Grossulariaceae,Ribes,Ribes alpinum multiple,Other,Other
VGF140_E08,sample,Melilotus albus,Fabaceae,Melilotus,Melilotus albus multiple,Other,Other
VGF140_E09,sample,Trilepisium madagascariensis,Moraceae,Trilepisium,Trilepisium madagascariensis leaves,Other,Other
VGF140_E10,sample,Strombosia grandifolia,Strombosiaceae,Strombosia,Strombosia grandifolia leaves,Other,Other
VGF140_E11,sample,Irvingia grandifolia,Irvingiaceae,Irvingia,Irvingia grandifolia bark,Other,Other
VGF140_F02,sample,Alstonia congensis,Apocynaceae,Alstonia,Alstonia congensis wood,Other,Other
VGF140_F03,sample,Combretum zenkeri,Combretaceae,Combretum,Combretum zenkeri leaves,Other,Other
VGF140_F04,sample,Desplatsia dewevrei,Malvaceae,Desplatsia,Desplatsia dewevrei bark,Other,Other
VGF140_F05,sample,Trichilia prieureana,Meliaceae,Trichilia,Trichilia prieureana wood,Other,Other
VGF140_F06,sample,Pteris similis,Pteridaceae,Pteris,Pteris similis roots,Other,Other
VGF140_F07,sample,Polypodium mantoniae,Polypodiaceae,Polypodium,Polypodium mantoniae multiple,Other,Other
VGF140_F08,sample,Frangula alnus,Rhamnaceae,Frangula,Frangula alnus multiple,Other,Other
VGF140_F09,sample,Trilepisium madagascariensis,Moraceae,Trilepisium,Trilepisium madagascariensis green stems,Other,Other
VGF140_F10,sample,Strombosia grandifolia,Strombosiaceae,Strombosia,Strombosia grandifolia green stems,Other,Other
VGF140_F11,sample,Entandrophragma candollei,Meliaceae,Entandrophragma,Entandrophragma candollei bark,Other,Other
VGF140_G02,sample,Chrysophyllum subnudum,Sapotaceae,Chrysophyllum,Chrysophyllum subnudum bark,Other,Other
VGF140_G03,sample,Combretum zenkeri,Combretaceae,Combretum,Combretum zenkeri green stems,Other,Other
VGF140_G04,sample,Cola urceolata,Malvaceae,Cola,Cola urceolata bark,Other,Other
VGF140_G05,sample,Panicum maximum,Poaceae,Panicum,Panicum maximum multiple,Other,Other
VGF140_G06,sample,Pteris similis,Pteridaceae,Pteris,Pteris similis leaves,Other,Other
VGF140_G07,sample,Geranium nodosum,Geraniaceae,Geranium,Geranium nodosum multiple,Other,Other
VGF140_G08,sample,Wisteria sinensis,Fabaceae,Wisteria,Wisteria sinensis fruits,Other,Other
VGF140_G09,sample,Dracaena arborea,Asparagaceae,Dracaena,Dracaena arborea leaves,Other,Other
VGF140_G10,sample,Thomandersia laurifolia,Thomandersiaceae,Thomandersia,Thomandersia laurifolia leaves,Other,Other
VGF140_G11,sample,Sterculia oblonga,Malvaceae,Sterculia,Sterculia oblonga bark,Other,Other
VGF140_H02,sample,Chrysophyllum subnudum,Sapotaceae,Chrysophyllum,Chrysophyllum subnudum wood,Other,Other
VGF140_H03,sample,Aubrevillea kerstingii,Fabaceae,Aubrevillea,Aubrevillea kerstingii bark,Other,Other
VGF140_H04,sample,Cola urceolata,Malvaceae,Cola,Cola urceolata leaves,Other,Other
VGF140_H05,sample,Panicum maximum,Poaceae,Panicum,Panicum maximum roots,Other,Other
VGF140_H06,sample,Nephrolepis biserrata,Nephrolepidaceae,Nephrolepis,Nephrolepis biserrata roots,Other,Other
VGF140_H07,sample,Asplenium onopteris,Aspleniaceae,Asplenium,Asplenium onopteris multiple,Other,Other
VGF140_H08,sample,Succisa pratensis,Caprifoliaceae,Succisa,Succisa pratensis multiple,Other,Other
VGF140_H09,sample,Dracaena arborea,Asparagaceae,Dracaena,Dracaena arborea green stems,Other,Other
VGF140_H10,sample,Thomandersia laurifolia,Thomandersiaceae,Thomandersia,Thomandersia laurifolia green stems,Other,Other
VGF140_H11,sample,Pancovia laurentii,Sapindaceae,Pancovia,Pancovia laurentii green stems,Other,Other
VGF141_A02,sample,Desplatsia dewevrei,Malvaceae,Desplatsia,Desplatsia dewevrei leaves,Other,Other
VGF141_A03,sample,Pueraria peduncularis,Fabaceae,Pueraria,Pueraria peduncularis green stems,Other,Other
VGF141_A04,sample,Trichosanthes rosthornii,Cucurbitaceae,Trichosanthes,Trichosanthes rosthornii fruits,Other,Other
VGF141_A05,sample,Calamus pandanosmus,Arecaceae,Calamus,Calamus pandanosmus leaves,Other,Other
VGF141_A06,sample,Dipterocarpus tuberculatus,Dipterocarpaceae,Dipterocarpus,Dipterocarpus tuberculatus leaves,Other,Other
VGF141_A07,sample,Enkleia malaccensis,Thymelaeaceae,Enkleia,Enkleia malaccensis roots,Other,Other
VGF141_A08,sample,Gigantochloa albociliata,Poaceae,Gigantochloa,Gigantochloa albociliata roots,Other,Other
VGF141_A09,sample,Gnetum edule,Gnetaceae,Gnetum,Gnetum edule woody stems,Other,Other
VGF141_A10,sample,Holoptelea integrifolia,Ulmaceae,Holoptelea,Holoptelea integrifolia leaves,Other,Other
VGF141_A11,sample,Ichnocarpus frutescens,Apocynaceae,Ichnocarpus,Ichnocarpus frutescens leaves,Other,Other
