sample_id,sample_type,organism_species,organism_family,organism_genus,species_organe,species_selected,species_organe_selected
VGF141_B02,sample,Desplatsia dewevrei,Malvaceae,Desplatsia,Desplatsia dewevrei green stems,Other,Other
VGF141_B03,sample,Pueraria peduncularis,Fabaceae,Pueraria,Pueraria peduncularis leaves,Other,Other
VGF141_B04,sample,Vaccinium urceolatum,Ericaceae,Vaccinium,Vaccinium urceolatum roots,Other,Other
VGF141_B05,sample,Calamus pandanosmus,Arecaceae,Calamus,Calamus pandanosmus multiple,Other,Other
VGF141_B06,sample,Dipterocarpus tuberculatus,Dipterocarpaceae,Dipterocarpus,Dipterocarpus tuberculatus woody stems,Other,Other
VGF141_B07,sample,Persicaria chinensis,Polygonaceae,Persicaria,Persicaria chinensis leaves,Other,Other
VGF141_B08,sample,Globba pendula,Zingiberaceae,Globba,Globba pendula leaves,Other,Other
VGF141_B09,sample,Gnetum edule,Gnetaceae,Gnetum,Gnetum edule roots,Other,Other
VGF141_B10,sample,Holoptelea integrifolia,Ulmaceae,Holoptelea,Holoptelea integrifolia roots,Other,Other
VGF141_B11,sample,Ichnocarpus frutescens,Apocynaceae,Ichnocarpus,Ichnocarpus frutescens roots,Other,Other
VGF141_C02,sample,Tetrorchidium didymostemon,Euphorbiaceae,Tetrorchidium,Tetrorchidium didymostemon leaves,Other,Other
VGF141_C03,sample,Quercus phillyreoides,Fagaceae,Quercus,Quercus phillyreoides roots,Other,Other
VGF141_C04,sample,Vaccinium urceolatum,Ericaceae,Vaccinium,Vaccinium urceolatum green stems,Other,Other
VGF141_C05,sample,Carallia brachiata,Rhizophoraceae,Carallia,Carallia brachiata leaves,Other,Other
VGF141_C06,sample,Dipterocarpus tuberculatus,Dipterocarpaceae,Dipterocarpus,Dipterocarpus tuberculatus roots,Other,Other
VGF141_C07,sample,Persicaria chinensis,Polygonaceae,Persicaria,Persicaria chinensis woody stems,Other,Other
VGF141_C08,sample,Globba pendula,Zingiberaceae,Globba,Globba pendula woody stems,Other,Other
VGF141_C09,sample,Leersia hexandra,Poaceae,Leersia,Leersia hexandra multiple,Other,Other
VGF141_C10,sample,Hopea helferi,Dipterocarpaceae,Hopea,Hopea helferi leaves,Other,Other
VGF141_C11,sample,Gigantochloa parvifolia,Poaceae,Gigantochloa,Gigantochloa parvifolia leaves,Other,Other
VGF141_D02,sample,Tetrorchidium didymostemon,Euphorbiaceae,Tetrorchidium,Tetrorchidium didymostemon green stems,Other,Other
VGF141_D03,sample,Quercus phillyreoides,Fagaceae,Quercus,Quercus phillyreoides green stems,Other,Other
VGF141_D04,sample,Vaccinium urceolatum,Ericaceae,Vaccinium,Vaccinium urceolatum leaves,Other,Other
VGF141_D05,sample,Carallia brachiata,Rhizophoraceae,Carallia,Carallia brachiata woody stems,Other,Other
VGF141_D06,sample,Dipterocarpus turbinatus,Dipterocarpaceae,Dipterocarpus,Dipterocarpus turbinatus leaves,Other,Other
VGF141_D07,sample,Fimbristylis dichotoma,Cyperaceae,Fimbristylis,Fimbristylis dichotoma leaves,Other,Other
VGF141_D08,sample,Globba pendula,Zingiberaceae,Globba,Globba pendula roots,Other,Other
VGF141_D09,sample,Glinus oppositifolius,Molluginaceae,Glinus,Glinus oppositifolius multiple,Other,Other
VGF141_D10,sample,Hopea helferi,Dipterocarpaceae,Hopea,Hopea helferi woody stems,Other,Other
VGF141_D11,sample,Gigantochloa parvifolia,Poaceae,Gigantochloa,Gigantochloa parvifolia woody stems,Other,Other
VGF141_E02,sample,Photinia glabra,Rosaceae,Photinia,Photinia glabra green stems,Other,Other
VGF141_E03,sample,Quercus phillyreoides,Fagaceae,Quercus,Quercus phillyreoides leaves,Other,Other
VGF141_E04,sample,Viburnum brachybotryum,Adoxaceae,Viburnum,Viburnum brachybotryum roots,Other,Other
VGF141_E05,sample,Carallia brachiata,Rhizophoraceae,Carallia,Carallia brachiata roots,Other,Other
VGF141_E06,sample,Dipterocarpus turbinatus,Dipterocarpaceae,Dipterocarpus,Dipterocarpus turbinatus woody stems,Other,Other
VGF141_E07,sample,Fimbristylis dichotoma,Cyperaceae,Fimbristylis,Fimbristylis dichotoma woody stems,Other,Other
VGF141_E08,sample,Dolichandrone spathacea,Bignoniaceae,Dolichandrone,Dolichandrone spathacea leaves,Other,Other
VGF141_E09,sample,Gonocaryum lobbianum,Cardiopteridaceae,Gonocaryum,Gonocaryum lobbianum leaves,Other,Other
VGF141_E10,sample,Hopea helferi,Dipterocarpaceae,Hopea,Hopea helferi roots,Other,Other
VGF141_E11,sample,Gigantochloa parvifolia,Poaceae,Gigantochloa,Gigantochloa parvifolia roots,Other,Other
VGF141_F02,sample,Photinia glabra,Rosaceae,Photinia,Photinia glabra leaves,Other,Other
VGF141_F03,sample,Trichosanthes rosthornii,Cucurbitaceae,Trichosanthes,Trichosanthes rosthornii seeds,Other,Other
VGF141_F04,sample,Arenga caudata,Arecaceae,Arenga,Arenga caudata leaves,Other,Other
VGF141_F05,sample,Dipterocarpus retusus,Dipterocarpaceae,Dipterocarpus,Dipterocarpus retusus leaves,Other,Other
VGF141_F06,sample,Dipterocarpus turbinatus,Dipterocarpaceae,Dipterocarpus,Dipterocarpus turbinatus roots,Other,Other
VGF141_F07,sample,Fimbristylis dichotoma,Cyperaceae,Fimbristylis,Fimbristylis dichotoma roots,Other,Other
VGF141_F08,sample,Globba schomburgkii,Zingiberaceae,Globba,Globba schomburgkii leaves,Other,Other
VGF141_F09,sample,Gonocaryum lobbianum,Cardiopteridaceae,Gonocaryum,Gonocaryum lobbianum woody stems,Other,Other
VGF141_F10,sample,Hymenocardia punctata,Phyllanthaceae,Hymenocardia,Hymenocardia punctata leaves,Other,Other
VGF141_F11,sample,Hymenopyramis brachiata,Lamiaceae,Hymenopyramis,Hymenopyramis brachiata leaves,Other,Other
VGF141_G02,sample,Piper wallichii,Piperaceae,Piper,Piper wallichii multiple,Other,Other
VGF141_G03,sample,Trichosanthes rosthornii,Cucurbitaceae,Trichosanthes,Trichosanthes rosthornii green stems,Other,Other
VGF141_G04,sample,Arenga caudata,Arecaceae,Arenga,Arenga caudata woody stems,Other,Other
VGF141_G05,sample,Dipterocarpus retusus,Dipterocarpaceae,Dipterocarpus,Dipterocarpus retusus woody stems,Other,Other
VGF141_G06,sample,Enkleia malaccensis,Thymelaeaceae,Enkleia,Enkleia malaccensis leaves,Other,Other
VGF141_G07,sample,Gigantochloa albociliata,Poaceae,Gigantochloa,Gigantochloa albociliata leaves,Other,Other
VGF141_G08,sample,Globba schomburgkii,Zingiberaceae,Globba,Globba schomburgkii woody stems,Other,Other
VGF141_G09,sample,Gonocaryum lobbianum,Cardiopteridaceae,Gonocaryum,Gonocaryum lobbianum roots,Other,Other
VGF141_G10,sample,Hymenocardia punctata,Phyllanthaceae,Hymenocardia,Hymenocardia punctata woody stems,Other,Other
VGF141_G11,sample,Hymenopyramis brachiata,Lamiaceae,Hymenopyramis,Hymenopyramis brachiata woody stems,Other,Other
VGF141_H02,sample,Pueraria peduncularis,Fabaceae,Pueraria,Pueraria peduncularis roots,Other,Other
VGF141_H03,sample,Trichosanthes rosthornii,Cucurbitaceae,Trichosanthes,Trichosanthes rosthornii leaves,Other,Other
VGF141_H04,sample,Arenga caudata,Arecaceae,Arenga,Arenga caudata roots,Other,Other
VGF141_H05,sample,Dipterocarpus retusus,Dipterocarpaceae,Dipterocarpus,Dipterocarpus retusus roots,Other,Other
VGF141_H06,sample,Enkleia malaccensis,Thymelaeaceae,Enkleia,Enkleia malaccensis woody stems,Other,Other
VGF141_H07,sample,Gigantochloa albociliata,Poaceae,Gigantochloa,Gigantochloa albociliata woody stems,Other,Other
VGF141_H08,sample,Globba schomburgkii,Zingiberaceae,Globba,Globba schomburgkii roots,Other,Other
VGF141_H09,sample,Holarrhena pubescens,Apocynaceae,Holarrhena,Holarrhena pubescens roots,Other,Other
VGF141_H10,sample,Hymenocardia punctata,Phyllanthaceae,Hymenocardia,Hymenocardia punctata roots,Other,Other
VGF141_H11,sample,Hymenopyramis brachiata,Lamiaceae,Hymenopyramis,Hymenopyramis brachiata roots,Other,Other
VGF142_A02,sample,Irvingia malayana,Irvingiaceae,Irvingia,Irvingia malayana leaves,Other,Other
VGF142_A03,sample,Lablab purpureus,Fabaceae,Lablab,Lablab purpureus woody stems,Other,Other
VGF142_A04,sample,Clerodendrum indicum,Lamiaceae,Clerodendrum,Clerodendrum indicum roots,Other,Other
VGF142_A05,sample,Paspalum scrobiculatum,Poaceae,Paspalum,Paspalum scrobiculatum roots,Other,Other
VGF142_A06,sample,Amalocalyx microlobus,Apocynaceae,Amalocalyx,Amalocalyx microlobus roots,Other,Other
VGF142_A07,sample,Aleuritopteris argentea,Pteridaceae,Aleuritopteris,Aleuritopteris argentea multiple,Other,Other
VGF142_A08,sample,Clematis brevicaudata,Ranunculaceae,Clematis,Clematis brevicaudata green stems,Other,Other
VGF142_A09,sample,Rotheca serrata,Lamiaceae,Rotheca,Rotheca serrata leaves,Other,Other
VGF142_A10,sample,Galium asperifolium,Rubiaceae,Galium,Galium asperifolium multiple,Other,Other
VGF142_A11,sample,Indigofera amblyantha,Fabaceae,Indigofera,Indigofera amblyantha roots,Other,Other
VGF142_B02,sample,Irvingia malayana,Irvingiaceae,Irvingia,Irvingia malayana woody stems,Other,Other
VGF142_B03,sample,Lablab purpureus,Fabaceae,Lablab,Lablab purpureus roots,Other,Other
VGF142_B04,sample,Hopea chinensis,Dipterocarpaceae,Hopea,Hopea chinensis leaves,Other,Other
VGF142_B05,sample,Suregada procera,Euphorbiaceae,Suregada,Suregada procera green stems,Other,Other
VGF142_B06,sample,Amalocalyx microlobus,Apocynaceae,Amalocalyx,Amalocalyx microlobus green stems,Other,Other
VGF142_B07,sample,Chloranthus holostegius,Chloranthaceae,Chloranthus,Chloranthus holostegius multiple,Other,Other
VGF142_B08,sample,Clematis chrysocoma,Ranunculaceae,Clematis,Clematis chrysocoma roots,Other,Other
VGF142_B09,sample,Coptis omeiensis,Ranunculaceae,Coptis,Coptis omeiensis roots,Other,Other
VGF142_B10,sample,Piloselloides hirsuta,Asteraceae,Piloselloides,Piloselloides hirsuta multiple,Other,Other
VGF142_B11,sample,Indigofera amblyantha,Fabaceae,Indigofera,Indigofera amblyantha green stems,Other,Other
VGF142_C02,sample,Ottelia alismoides,Hydrocharitaceae,Ottelia,Ottelia alismoides leaves,Other,Other
VGF142_C03,sample,Mischocarpus pentapetalus,Sapindaceae,Mischocarpus,Mischocarpus pentapetalus leaves,Other,Other
VGF142_C04,sample,Hopea chinensis,Dipterocarpaceae,Hopea,Hopea chinensis woody stems,Other,Other
VGF142_C05,sample,Pyrrosia lingua,Polypodiaceae,Pyrrosia,Pyrrosia lingua rhizomes,Other,Other
VGF142_C06,sample,Amalocalyx microlobus,Apocynaceae,Amalocalyx,Amalocalyx microlobus multiple,Other,Other
VGF142_C07,sample,Chlorophytum minor,Asparagaceae,Chlorophytum,Chlorophytum minor multiple,Other,Other
VGF142_C08,sample,Clematis chrysocoma,Ranunculaceae,Clematis,Clematis chrysocoma leaves,Other,Other
VGF142_C09,sample,Coptis omeiensis,Ranunculaceae,Coptis,Coptis omeiensis green stems,Other,Other
VGF142_C10,sample,Gymnotheca chinensis,Saururaceae,Gymnotheca,Gymnotheca chinensis leaves,Other,Other
VGF142_C11,sample,Isodon ternifolius,Lamiaceae,Isodon,Isodon ternifolius roots,Other,Other
VGF142_D02,sample,Ottelia alismoides,Hydrocharitaceae,Ottelia,Ottelia alismoides woody stems,Other,Other
VGF142_D03,sample,Mischocarpus pentapetalus,Sapindaceae,Mischocarpus,Mischocarpus pentapetalus woody stems,Other,Other
VGF142_D04,sample,Hopea chinensis,Dipterocarpaceae,Hopea,Hopea chinensis roots,Other,Other
VGF142_D05,sample,Ainsliaea pertyoides,Asteraceae,Ainsliaea,Ainsliaea pertyoides leaves,Other,Other
VGF142_D06,sample,Eriocapitella rivularis,Ranunculaceae,Eriocapitella,Eriocapitella rivularis multiple,Other,Other
VGF142_D07,sample,Clematis apiifolia,Ranunculaceae,Clematis,Clematis apiifolia leaves,Other,Other
VGF142_D08,sample,Clematis meyeniana,Ranunculaceae,Clematis,Clematis meyeniana leaves,Other,Other
VGF142_D09,sample,Coptis omeiensis,Ranunculaceae,Coptis,Coptis omeiensis leaves,Other,Other
VGF142_D10,sample,Gymnotheca chinensis,Saururaceae,Gymnotheca,Gymnotheca chinensis green stems,Other,Other
VGF142_D11,sample,Kadsura interior,Schisandraceae,Kadsura,Kadsura interior multiple,Other,Other
VGF142_E02,sample,Parashorea dussaudii,Dipterocarpaceae,Parashorea,Parashorea dussaudii leaves,Other,Other
VGF142_E03,sample,Mischocarpus pentapetalus,Sapindaceae,Mischocarpus,Mischocarpus pentapetalus roots,Other,Other
VGF142_E04,sample,Limnophila laotica,Plantaginaceae,Limnophila,Limnophila laotica multiple,Other,Other
VGF142_E05,sample,Ainsliaea pertyoides,Asteraceae,Ainsliaea,Ainsliaea pertyoides roots,Other,Other
VGF142_E06,sample,Berberis wangii,Berberidaceae,Berberis,Berberis wangii leaves,Other,Other
VGF142_E07,sample,Clematis apiifolia,Ranunculaceae,Clematis,Clematis apiifolia roots,Other,Other
VGF142_E08,sample,Clematis meyeniana,Ranunculaceae,Clematis,Clematis meyeniana roots,Other,Other
VGF142_E09,sample,Crepis lignea,Asteraceae,Crepis,Crepis lignea multiple,Other,Other
VGF142_E10,sample,Helwingia omeiensis,Helwingiaceae,Helwingia,Helwingia omeiensis green stems,Other,Other
VGF142_E11,sample,Kadsura interior,Schisandraceae,Kadsura,Kadsura interior multiple,Other,Other
VGF142_F02,sample,Parashorea dussaudii,Dipterocarpaceae,Parashorea,Parashorea dussaudii woody stems,Other,Other
VGF142_F03,sample,Nauclea orientalis,Rubiaceae,Nauclea,Nauclea orientalis leaves,Other,Other
VGF142_F04,sample,Palaquium annamense,Sapotaceae,Palaquium,Palaquium annamense leaves,Other,Other
VGF142_F05,sample,Ainsliaea pertyoides,Asteraceae,Ainsliaea,Ainsliaea pertyoides green stems,Other,Other
VGF142_F06,sample,Berberis wangii,Berberidaceae,Berberis,Berberis wangii roots,Other,Other
VGF142_F07,sample,Clematis apiifolia,Ranunculaceae,Clematis,Clematis apiifolia green stems,Other,Other
VGF142_F08,sample,Clematis meyeniana,Ranunculaceae,Clematis,Clematis meyeniana green stems,Other,Other
VGF142_F09,sample,Cynoglossum furcatum,Boraginaceae,Cynoglossum,Cynoglossum furcatum multiple,Other,Other
VGF142_F10,sample,Helwingia omeiensis,Helwingiaceae,Helwingia,Helwingia omeiensis leaves,Other,Other
VGF142_F11,sample,Kadsura interior,Schisandraceae,Kadsura,Kadsura interior roots,Other,Other
VGF142_G02,sample,Parashorea dussaudii,Dipterocarpaceae,Parashorea,Parashorea dussaudii roots,Other,Other
VGF142_G03,sample,Nauclea orientalis,Rubiaceae,Nauclea,Nauclea orientalis woody stems,Other,Other
VGF142_G04,sample,Palaquium annamense,Sapotaceae,Palaquium,Palaquium annamense roots,Other,Other
VGF142_G05,sample,Ainsliaea yunnanensis,Asteraceae,Ainsliaea,Ainsliaea yunnanensis multiple,Other,Other
VGF142_G06,sample,Berberis wangii,Berberidaceae,Berberis,Berberis wangii green stems,Other,Other
VGF142_G07,sample,Clematis brevicaudata,Ranunculaceae,Clematis,Clematis brevicaudata leaves,Other,Other
VGF142_G08,sample,Rotheca serrata,Lamiaceae,Rotheca,Rotheca serrata roots,Other,Other
VGF142_G09,sample,Dichrocephala integrifolia,Asteraceae,Dichrocephala,Dichrocephala integrifolia multiple,Other,Other
VGF142_G10,sample,Hydrangea macrophylla,Hydrangeaceae,Hydrangea,Hydrangea macrophylla roots,Other,Other
VGF142_G11,sample,Kadsura interior,Schisandraceae,Kadsura,Kadsura interior green stems,Other,Other
VGF142_H02,sample,Lablab purpureus,Fabaceae,Lablab,Lablab purpureus leaves,Other,Other
VGF142_H03,sample,Nauclea orientalis,Rubiaceae,Nauclea,Nauclea orientalis roots,Other,Other
VGF142_H04,sample,Paspalum scrobiculatum,Poaceae,Paspalum,Paspalum scrobiculatum multiple,Other,Other
VGF142_H05,sample,Amalocalyx microlobus,Apocynaceae,Amalocalyx,Amalocalyx microlobus leaves,Other,Other
VGF142_H06,sample,Carex baccans,Cyperaceae,Carex,Carex baccans multiple,Other,Other
VGF142_H07,sample,Clematis brevicaudata,Ranunculaceae,Clematis,Clematis brevicaudata roots,Other,Other
VGF142_H08,sample,Rotheca serrata,Lamiaceae,Rotheca,Rotheca serrata green stems,Other,Other
VGF142_H09,sample,Euonymus grandiflorus,Celastraceae,Euonymus,Euonymus grandiflorus multiple,Other,Other
VGF142_H10,sample,Indigofera amblyantha,Fabaceae,Indigofera,Indigofera amblyantha leaves,Other,Other
VGF142_H11,sample,Kadsura interior,Schisandraceae,Kadsura,Kadsura interior leaves,Other,Other
VGF143_A02,sample,Laggera crispata,Asteraceae,Laggera,Laggera crispata green stems,Other,Other
VGF143_A03,sample,Argentina lineata,Rosaceae,Argentina,Argentina lineata multiple,Other,Other
VGF143_A04,sample,Pueraria montana,Fabaceae,Pueraria,Pueraria montana green stems,Other,Other
VGF143_A05,sample,Sanicula astrantiifolia,Apiaceae,Sanicula,Sanicula astrantiifolia multiple,Other,Other
VGF143_A06,sample,Thalictrum delavayi,Ranunculaceae,Thalictrum,Thalictrum delavayi green stems,Other,Other
VGF143_A07,sample,Zanthoxylum austrosinense,Rutaceae,Zanthoxylum,Zanthoxylum austrosinense green stems,Other,Other
VGF143_A08,sample,Clitoria macrophylla,Fabaceae,Clitoria,Clitoria macrophylla roots,Other,Other
VGF143_A09,sample,Goniothalamus gabriacianus,Annonaceae,Goniothalamus,Goniothalamus gabriacianus roots,Other,Other
VGF143_A10,sample,Senna timoriensis,Fabaceae,Senna,Senna timoriensis leaves,Other,Other
VGF143_A11,sample,Dieffenbachia seguine,Araceae,Dieffenbachia,Dieffenbachia seguine multiple,Other,Other
VGF143_B02,sample,Lobelia seguinii,Campanulaceae,Lobelia,Lobelia seguinii roots,Other,Other
VGF143_B03,sample,Geum rivale,Rosaceae,Geum,Geum rivale multiple,Other,Other
VGF143_B04,sample,Pyrrosia davidii,Polypodiaceae,Pyrrosia,Pyrrosia davidii multiple,Other,Other
VGF143_B05,sample,Satyrium nepalense,Orchidaceae,Satyrium,Satyrium nepalense roots,Other,Other
VGF143_B06,sample,Trichosanthes dunniana,Cucurbitaceae,Trichosanthes,Trichosanthes dunniana roots,Other,Other
VGF143_B07,sample,Zanthoxylum austrosinense,Rutaceae,Zanthoxylum,Zanthoxylum austrosinense leaves,Other,Other
VGF143_B08,sample,Croton thorelii,Euphorbiaceae,Croton,Croton thorelii woody stems,Other,Other
VGF143_B09,sample,Hymenodictyon flaccidum,Rubiaceae,Hymenodictyon,Hymenodictyon flaccidum woody stems,Other,Other
VGF143_B10,sample,Senna timoriensis,Fabaceae,Senna,Senna timoriensis woody stems,Other,Other
VGF143_B11,sample,Globba winitii,Zingiberaceae,Globba,Globba winitii multiple,Other,Other
VGF143_C02,sample,Lobelia seguinii,Campanulaceae,Lobelia,Lobelia seguinii leaves,Other,Other
VGF143_C03,sample,Pouzolzia sanguinea,Urticaceae,Pouzolzia,Pouzolzia sanguinea multiple,Other,Other
VGF143_C04,sample,Sambucus adnata,Adoxaceae,Sambucus,Sambucus adnata roots,Other,Other
VGF143_C05,sample,Satyrium nepalense,Orchidaceae,Satyrium,Satyrium nepalense multiple,Other,Other
VGF143_C06,sample,Trichosanthes dunniana,Cucurbitaceae,Trichosanthes,Trichosanthes dunniana green stems,Other,Other
VGF143_C07,sample,Acalypha siamensis,Euphorbiaceae,Acalypha,Acalypha siamensis leaves,Other,Other
VGF143_C08,sample,Croton thorelii,Euphorbiaceae,Croton,Croton thorelii roots,Other,Other
VGF143_C09,sample,Ixora macrothyrsa,Rubiaceae,Ixora,Ixora macrothyrsa leaves,Other,Other
VGF143_C10,sample,Senna timoriensis,Fabaceae,Senna,Senna timoriensis roots,Other,Other
VGF143_C11,sample,Hymenocallis littoralis,Amaryllidaceae,Hymenocallis,Hymenocallis littoralis leaves,Other,Other
VGF143_D02,sample,Macrosolen cochinchinensis,Loranthaceae,Macrosolen,Macrosolen cochinchinensis leaves,Other,Other
VGF143_D03,sample,Pouzolzia sanguinea,Urticaceae,Pouzolzia,Pouzolzia sanguinea roots,Other,Other
VGF143_D04,sample,Sambucus adnata,Adoxaceae,Sambucus,Sambucus adnata green stems,Other,Other
VGF143_D05,sample,Saussurea amara,Asteraceae,Saussurea,Saussurea amara multiple,Other,Other
VGF143_D06,sample,Viola yunnanfuensis,Violaceae,Viola,Viola yunnanfuensis multiple,Other,Other
VGF143_D07,sample,Acalypha siamensis,Euphorbiaceae,Acalypha,Acalypha siamensis green stems,Other,Other
VGF143_D08,sample,Flacourtia jangomas,Salicaceae,Flacourtia,Flacourtia jangomas woody stems,Other,Other
VGF143_D09,sample,Ixora macrothyrsa,Rubiaceae,Ixora,Ixora macrothyrsa woody stems,Other,Other
VGF143_D10,sample,Spermacoce alata,Rubiaceae,Spermacoce,Spermacoce alata leaves,Other,Other
VGF143_D11,sample,Rheum officinale,Polygonaceae,Rheum,Rheum officinale roots,Other,Other
VGF143_E02,sample,Macrosolen cochinchinensis,Loranthaceae,Macrosolen,Macrosolen cochinchinensis rhizomes,Other,Other
VGF143_E03,sample,Pouzolzia sanguinea,Urticaceae,Pouzolzia,Pouzolzia sanguinea green stems,Other,Other
VGF143_E04,sample,Sambucus adnata,Adoxaceae,Sambucus,Sambucus adnata leaves,Other,Other
VGF143_E05,sample,Selaginella davidii,Selaginellaceae,Selaginella,Selaginella davidii multiple,Other,Other
VGF143_E06,sample,Wahlenbergia marginata,Campanulaceae,Wahlenbergia,Wahlenbergia marginata multiple,Other,Other
VGF143_E07,sample,Acalypha siamensis,Euphorbiaceae,Acalypha,Acalypha siamensis roots,Other,Other
VGF143_E08,sample,Gardenia jasminoides,Rubiaceae,Gardenia,Gardenia jasminoides leaves,Other,Other
VGF143_E09,sample,Limonia acidissima,Rutaceae,Limonia,Limonia acidissima leaves,Other,Other
VGF143_E10,sample,Spermacoce alata,Rubiaceae,Spermacoce,Spermacoce alata green stems,Other,Other
VGF143_E11,sample,Rheum rhabarbarum,Polygonaceae,Rheum,Rheum rhabarbarum roots,Other,Other
VGF143_F02,sample,Parochetus communis,Fabaceae,Parochetus,Parochetus communis multiple,Other,Other
VGF143_F03,sample,Pouzolzia sanguinea,Urticaceae,Pouzolzia,Pouzolzia sanguinea leaves,Other,Other
VGF143_F04,sample,Sambucus racemosa,Adoxaceae,Sambucus,Sambucus racemosa leaves,Other,Other
VGF143_F05,sample,Cissampelopsis buimalia,Asteraceae,Cissampelopsis,Cissampelopsis buimalia multiple,Other,Other
VGF143_F06,sample,Wisteria brachybotrys,Fabaceae,Wisteria,Wisteria brachybotrys roots,Other,Other
VGF143_F07,sample,Bauhinia ornata,Fabaceae,Bauhinia,Bauhinia ornata woody stems,Other,Other
VGF143_F08,sample,Gardenia jasminoides,Rubiaceae,Gardenia,Gardenia jasminoides roots,Other,Other
VGF143_F09,sample,Limonia acidissima,Rutaceae,Limonia,Limonia acidissima woody stems,Other,Other
VGF143_F10,sample,Spermacoce alata,Rubiaceae,Spermacoce,Spermacoce alata roots,Other,Other
VGF143_F11,sample,Rheum rhabarbarum,Polygonaceae,Rheum,Rheum rhabarbarum leaves,Other,Other
VGF143_G02,sample,Phtheirospermum japonicum,Orobanchaceae,Phtheirospermum,Phtheirospermum japonicum multiple,Other,Other
VGF143_G03,sample,Pueraria montana,Fabaceae,Pueraria,Pueraria montana leaves,Other,Other
VGF143_G04,sample,Sambucus racemosa,Adoxaceae,Sambucus,Sambucus racemosa roots,Other,Other
VGF143_G05,sample,Thalictrum delavayi,Ranunculaceae,Thalictrum,Thalictrum delavayi leaves,Other,Other
VGF143_G06,sample,Wisteria brachybotrys,Fabaceae,Wisteria,Wisteria brachybotrys green stems,Other,Other
VGF143_G07,sample,Clitoria macrophylla,Fabaceae,Clitoria,Clitoria macrophylla leaves,Other,Other
VGF143_G08,sample,Glycosmis cochinchinensis,Rutaceae,Glycosmis,Glycosmis cochinchinensis leaves,Other,Other
VGF143_G09,sample,Limonia acidissima,Rutaceae,Limonia,Limonia acidissima roots,Other,Other
VGF143_G10,sample,Stauntonia brunoniana,Lardizabalaceae,Stauntonia,Stauntonia brunoniana roots,Other,Other
VGF143_G11,sample,Abelmoschus manihot,Malvaceae,Abelmoschus,Abelmoschus manihot roots,Other,Other
VGF143_H02,sample,Argentina lineata,Rosaceae,Argentina,Argentina lineata roots,Other,Other
VGF143_H03,sample,Pueraria montana,Fabaceae,Pueraria,Pueraria montana roots,Other,Other
VGF143_H04,sample,Sambucus racemosa,Adoxaceae,Sambucus,Sambucus racemosa green stems,Other,Other
VGF143_H05,sample,Thalictrum delavayi,Ranunculaceae,Thalictrum,Thalictrum delavayi roots,Other,Other
VGF143_H06,sample,Wisteria brachybotrys,Fabaceae,Wisteria,Wisteria brachybotrys leaves,Other,Other
VGF143_H07,sample,Clitoria macrophylla,Fabaceae,Clitoria,Clitoria macrophylla green stems,Other,Other
VGF143_H08,sample,Glycosmis cochinchinensis,Rutaceae,Glycosmis,Glycosmis cochinchinensis roots,Other,Other
VGF143_H09,sample,Plumeria rubra,Apocynaceae,Plumeria,Plumeria rubra leaves,Other,Other
VGF143_H10,sample,Lindenbergia philippensis,Orobanchaceae,Lindenbergia,Lindenbergia philippensis leaves,Other,Other
VGF143_H11,sample,Abelmoschus manihot,Malvaceae,Abelmoschus,Abelmoschus manihot green stems,Other,Other
VGF144_A02,sample,Abelmoschus manihot,Malvaceae,Abelmoschus,Abelmoschus manihot fruits,Other,Other
VGF144_A03,sample,Caragana rosea,Fabaceae,Caragana,Caragana rosea green stems,Other,Other
VGF144_A04,sample,Elsholtzia fruticosa,Lamiaceae,Elsholtzia,Elsholtzia fruticosa green stems,Other,Other
VGF144_A05,sample,Neocinnamomum delavayi,Lauraceae,Neocinnamomum,Neocinnamomum delavayi roots,Other,Other
VGF144_A06,sample,Pteridium excelsum,Dennstaedtiaceae,Pteridium,Pteridium excelsum green stems,Other,Other
VGF144_A07,sample,Vitis vexillata,Vitaceae,Vitis,Vitis vexillata roots,Other,Other
VGF144_A08,sample,Cupressus duclouxiana,Cupressaceae,Cupressus,Cupressus duclouxiana green stems,Other,Other
VGF144_A09,sample,Gaultheria cuneata,Ericaceae,Gaultheria,Gaultheria cuneata green stems,Other,Other
VGF144_A10,sample,Callerya cinerea,Fabaceae,Callerya,Callerya cinerea leaves,Other,Other
VGF144_A11,sample,Holarrhena curtisii,Apocynaceae,Holarrhena,Holarrhena curtisii woody stems,Other,Other
VGF144_B02,sample,Angelica anomala,Apiaceae,Angelica,Angelica anomala roots,Other,Other
VGF144_B03,sample,Caragana rosea,Fabaceae,Caragana,Caragana rosea leaves,Other,Other
VGF144_B04,sample,Elsholtzia fruticosa,Lamiaceae,Elsholtzia,Elsholtzia fruticosa leaves,Other,Other
VGF144_B05,sample,Magnolia delavayi,Magnoliaceae,Magnolia,Magnolia delavayi leaves,Other,Other
VGF144_B06,sample,Pteridium excelsum,Dennstaedtiaceae,Pteridium,Pteridium excelsum leaves,Other,Other
VGF144_B07,sample,Actinidia rubricaulis,Actinidiaceae,Actinidia,Actinidia rubricaulis green stems,Other,Other
VGF144_B08,sample,Cupressus duclouxiana,Cupressaceae,Cupressus,Cupressus duclouxiana leaves,Other,Other
VGF144_B09,sample,Ilex macrocarpa,Aquifoliaceae,Ilex,Ilex macrocarpa green stems,Other,Other
VGF144_B10,sample,Callerya cinerea,Fabaceae,Callerya,Callerya cinerea fruits,Other,Other
