sample_id	sample_type	sample_substance_name	organism_kingdom	organism_phylum	organism_class	organism_order	organism_family	organism_genus	organism_species	organism_organe	organism_broad_organe	organism_tissue	organism_subsystem	sample_plate_id	ms_filename	ms_injection_date	tcruzi_activity_class
VGF138_A02	sample	V111819GP-01	Plantae	Tracheophyta	Magnoliopsida	Saxifragales	Paeoniaceae	Paeonia	Paeonia suffruticosa	leaves	photosynthetic	green tissue	aboveground	VGF138	VGF138_A02.mzXML	27/10/2017	Inactive
VGF138_A03	sample	V111988GP-01	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Scrophulariaceae	Buddleja	Buddleja officinalis	leaves	photosynthetic	green tissue	aboveground	VGF138	VGF138_A03.mzXML	27/10/2017	Inactive
VGF138_A04	sample	V112020GP-01	Plantae	Tracheophyta	Magnoliopsida	Rosales	Moraceae	Ficus	Ficus tikoua	multiple	multiple	multiple	aboveground	VGF138	VGF138_A04.mzXML	27/10/2017	Inactive
VGF138_A05	sample	V112033GP-01	Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae	Nicandra	Nicandra physalodes	fruits	reproductive	green tissue	aboveground	VGF138	VGF138_A05.mzXML	27/10/2017	Inactive
VGF138_A06	sample	V112042GP-01	Plantae	Tracheophyta	Magnoliopsida	Fabales	Polygalaceae	Asemeia	Asemeia extraaxillaris	roots	roots	root tissue	belowground	VGF138	VGF138_A06.mzXML	27/10/2017	Inactive
VGF138_A07	sample	V112053GP-01	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Sophora	Sophora davidii	green stems	green vegetative	green tissue	aboveground	VGF138	VGF138_A07.mzXML	27/10/2017	Inactive
VGF138_A08	sample	V112063GP-01	Plantae	Tracheophyta	Magnoliopsida	Dipsacales	Adoxaceae	Viburnum	Viburnum foetidum	leaves	photosynthetic	green tissue	aboveground	VGF138	VGF138_A08.mzXML	27/10/2017	Inactive
VGF138_A09	sample	V112076GP-01	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Phyllanthaceae	Breynia	Breynia fruticosa	leaves	photosynthetic	green tissue	aboveground	VGF138	VGF138_A09.mzXML	27/10/2017	Inactive
VGF138_A10	sample	V112090GP-01	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Codariocalyx	Codariocalyx gyroides	woody stems	woody vegetative	woody tissue	aboveground	VGF138	VGF138_A10.mzXML	27/10/2017	Inactive
VGF138_A11	sample	V112104GP-01	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Ischaemum	Ischaemum ciliare	multiple	multiple	multiple		VGF138	VGF138_A11.mzXML	27/10/2017	Inactive
VGF138_B02	sample	V111820GP-01	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Stranvaesia	Stranvaesia davidiana	roots	roots	root tissue	belowground	VGF138	VGF138_B02.mzXML	27/10/2017	Inactive
VGF138_B03	sample	V111991GP-01	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Caesalpinia	Caesalpinia enneaphylla	leaves	photosynthetic	green tissue	aboveground	VGF138	VGF138_B03.mzXML	27/10/2017	Inactive
VGF138_B04	sample	V112021GP-01	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentiana	Gentiana pubigera	multiple	multiple	multiple		VGF138	VGF138_B04.mzXML	27/10/2017	Inactive
VGF138_B05	sample	V112035GP-01	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Melastomataceae	Oxyspora	Oxyspora paniculata	green stems	green vegetative	green tissue	aboveground	VGF138	VGF138_B05.mzXML	27/10/2017	Inactive
VGF138_B06	sample	V112044GP-01	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Polygonaceae	Persicaria	Persicaria orientalis	green stems	green vegetative	green tissue	aboveground	VGF138	VGF138_B06.mzXML	27/10/2017	Inactive
VGF138_B07	sample	V112055GP-01	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Thalictrum	Thalictrum foliolosum	multiple	multiple	multiple		VGF138	VGF138_B07.mzXML	27/10/2017	Inactive
VGF138_B08	sample	V112064GP-01	Plantae	Tracheophyta	Magnoliopsida	Dipsacales	Adoxaceae	Viburnum	Viburnum foetidum	green stems	green vegetative	green tissue	aboveground	VGF138	VGF138_B08.mzXML	27/10/2017	Inactive
VGF138_B09	sample	V112078GP-01	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Phyllanthaceae	Breynia	Breynia fruticosa	roots	roots	root tissue	belowground	VGF138	VGF138_B09.mzXML	27/10/2017	Inactive
VGF138_B10	sample	V112091GP-01	Plantae	Tracheophyta	Magnoliopsida	Saxifragales	Hamamelidaceae	Corylopsis	Corylopsis multitorum	woody stems	woody vegetative	woody tissue	aboveground	VGF138	VGF138_B10.mzXML	27/10/2017	Inactive
VGF138_B11	sample	V112108GP-01	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Lithocarpus	Lithocarpus litseifolius	leaves	photosynthetic	green tissue	aboveground	VGF138	VGF138_B11.mzXML	27/10/2017	Inactive
VGF138_C02	sample	V111823GP-01	Plantae	Tracheophyta	Magnoliopsida	Proteales	Sabiaceae	Sabia	Sabia schumanniana	green stems	green vegetative	green tissue	aboveground	VGF138	VGF138_C02.mzXML	27/10/2017	Inactive
VGF138_C03	sample	V111998GP-01	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Clerodendrum	Clerodendrum yunnanense	green stems	green vegetative	green tissue	aboveground	VGF138	VGF138_C03.mzXML	27/10/2017	Inactive
VGF138_C04	sample	V112022GP-01	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Geum	Geum japonicum	leaves	photosynthetic	green tissue	aboveground	VGF138	VGF138_C04.mzXML	27/10/2017	Inactive
VGF138_C05	sample	V112036GP-01	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Orobanchaceae	Pedicularis	Pedicularis henryi	multiple	multiple	multiple	aboveground	VGF138	VGF138_C05.mzXML	27/10/2017	Inactive
VGF138_C06	sample	V112045GP-01	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Polygonaceae	Persicaria	Persicaria orientalis	leaves	photosynthetic	green tissue	aboveground	VGF138	VGF138_C06.mzXML	27/10/2017	Inactive
VGF138_C07	sample	V112057GP-01	Plantae	Tracheophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Trichosanthes	Trichosanthes ovigera	green stems	green vegetative	green tissue	aboveground	VGF138	VGF138_C07.mzXML	27/10/2017	Inactive
VGF138_C08	sample	V112065GP-01	Plantae	Tracheophyta	Magnoliopsida	Dipsacales	Adoxaceae	Viburnum	Viburnum foetidum	fruits	reproductive	green tissue	aboveground	VGF138	VGF138_C08.mzXML	27/10/2017	Inactive
VGF138_C09	sample	V112079GP-01	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Byttneria	Byttneria aspera	green stems	green vegetative	green tissue	aboveground	VGF138	VGF138_C09.mzXML	27/10/2017	Inactive
VGF138_C10	sample	V112092GP-01	Plantae	Tracheophyta	Magnoliopsida	Saxifragales	Hamamelidaceae	Corylopsis	Corylopsis multitorum	leaves	photosynthetic	green tissue	aboveground	VGF138	VGF138_C10.mzXML	27/10/2017	Inactive
VGF138_C11	sample	V112109GP-01	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Lithocarpus	Lithocarpus litseifolius	woody stems	woody vegetative	woody tissue	aboveground	VGF138	VGF138_C11.mzXML	27/10/2017	Inactive
VGF138_D02	sample	V111982GP-01	Plantae	Tracheophyta	Liliopsida	Alismatales	Araceae	Arisaema	Arisaema amurense	multiple	multiple	multiple	aboveground	VGF138	VGF138_D02.mzXML	27/10/2017	Inactive
VGF138_D03	sample	V112009GP-01	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Dichrocephala	Dichrocephala benthamii	multiple	multiple	multiple	aboveground	VGF138	VGF138_D03.mzXML	27/10/2017	Inactive
VGF138_D04	sample	V112023GP-01	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Hypericaceae	Hypericum	Hypericum patulum	roots	roots	root tissue	belowground	VGF138	VGF138_D04.mzXML	27/10/2017	Inactive
VGF138_D05	sample	V112037GP-01	Plantae	Tracheophyta	Magnoliopsida	Asterales	Campanulaceae	Peracarpa	Peracarpa carnosa	multiple	multiple	multiple		VGF138	VGF138_D05.mzXML	27/10/2017	Inactive
VGF138_D06	sample	V112048GP-01	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Polygonaceae	Rumex	Rumex nepalensis	green stems	green vegetative	green tissue	aboveground	VGF138	VGF138_D06.mzXML	27/10/2017	Inactive
VGF138_D07	sample	V112058GP-01	Plantae	Tracheophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Trichosanthes	Trichosanthes ovigera	leaves	photosynthetic	green tissue	aboveground	VGF138	VGF138_D07.mzXML	27/10/2017	Inactive
VGF138_D08	sample	V112066GP-01	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Zanthoxylum	Zanthoxylum acanthopodium	roots	roots	root tissue	belowground	VGF138	VGF138_D08.mzXML	27/10/2017	Inactive
VGF138_D09	sample	V112080GP-01	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Byttneria	Byttneria aspera	leaves	photosynthetic	green tissue	aboveground	VGF138	VGF138_D09.mzXML	27/10/2017	Inactive
VGF138_D10	sample	V112099GP-01	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Hemarthria	Hemarthria compressa	leaves	photosynthetic	green tissue	aboveground	VGF138	VGF138_D10.mzXML	27/10/2017	Inactive
VGF138_D11	sample	V112111GP-01	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Ottochloa	Ottochloa nodosa	multiple	multiple	multiple		VGF138	VGF138_D11.mzXML	27/10/2017	Inactive
VGF138_E02	sample	V111983GP-01	Plantae	Tracheophyta	Liliopsida	Alismatales	Araceae	Arisaema	Arisaema franchetianum	roots	roots	root tissue	belowground	VGF138	VGF138_E02.mzXML	27/10/2017	Inactive
VGF138_E03	sample	V112010GP-01	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Erigeron	Erigeron breviscapus	multiple	multiple	multiple		VGF138	VGF138_E03.mzXML	27/10/2017	Inactive
VGF138_E04	sample	V112028GP-01	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Onagraceae	Ludwigia	Ludwigia japonicum	multiple	multiple	multiple		VGF138	VGF138_E04.mzXML	27/10/2017	Inactive
VGF138_E05	sample	V112038GP-01	Plantae	Tracheophyta	Magnoliopsida	Rosales	Urticaceae	Pilea	Pilea plataniflora	roots	roots	root tissue	belowground	VGF138	VGF138_E05.mzXML	27/10/2017	Inactive
VGF138_E06	sample	V112050GP-01	Plantae	Tracheophyta	Magnoliopsida	Apiales	Araliaceae	Schefflera	Schefflera delavayi	roots	roots	root tissue	belowground	VGF138	VGF138_E06.mzXML	27/10/2017	Inactive
VGF138_E07	sample	V112059GP-01	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Gentianaceae	Tripterospermum	Tripterospermum cordatum	multiple	multiple	multiple		VGF138	VGF138_E07.mzXML	27/10/2017	Inactive
VGF138_E08	sample	V112068GP-01	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Zanthoxylum	Zanthoxylum acanthopodium	leaves	photosynthetic	green tissue	aboveground	VGF138	VGF138_E08.mzXML	27/10/2017	Inactive
VGF138_E09	sample	V112083GP-01	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Calliandra	Calliandra haematocephala	leaves	photosynthetic	green tissue	aboveground	VGF138	VGF138_E09.mzXML	27/10/2017	Inactive
VGF138_E10	sample	V112100GP-01	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Hemarthria	Hemarthria compressa	green stems	green vegetative	green tissue	aboveground	VGF138	VGF138_E10.mzXML	27/10/2017	Inactive
VGF138_E11	sample	V112116GP-01	Plantae	Tracheophyta	Liliopsida	Alismatales	Araceae	Pistia	Pistia stratiotes	leaves	photosynthetic	green tissue	aboveground	VGF138	VGF138_E11.mzXML	27/10/2017	Inactive
VGF138_F02	sample	V111985GP-01	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Gesneriaceae	Paraboea	Paraboea rufescens	multiple	multiple	multiple		VGF138	VGF138_F02.mzXML	27/10/2017	Inactive
VGF138_F03	sample	V112015GP-01	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Tetradium	Tetradium trichotomum	green stems	green vegetative	green tissue	aboveground	VGF138	VGF138_F03.mzXML	27/10/2017	Inactive
VGF138_F04	sample	V112030GP-01	Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae	Nicandra	Nicandra physalodes	roots	roots	root tissue	belowground	VGF138	VGF138_F04.mzXML	27/10/2017	Inactive
VGF138_F05	sample	V112039GP-01	Plantae	Tracheophyta	Magnoliopsida	Rosales	Urticaceae	Pilea	Pilea plataniflora	green stems	green vegetative	green tissue	aboveground	VGF138	VGF138_F05.mzXML	27/10/2017	Inactive
VGF138_F06	sample	V112054GP-01	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Caryophyllaceae	Stellaria	Stellaria vestita	multiple	multiple	multiple		VGF138	VGF138_F06.mzXML	27/10/2017	Inactive
VGF138_F07	sample	V112060GP-01	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	Vaccinium fragile	green stems	green vegetative	green tissue	aboveground	VGF138	VGF138_F07.mzXML	27/10/2017	Inactive
VGF138_F08	sample	V112069GP-01	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Zanthoxylum	Zanthoxylum acanthopodium	fruits	reproductive	green tissue	aboveground	VGF138	VGF138_F08.mzXML	27/10/2017	Inactive
VGF138_F09	sample	V112085GP-01	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Calliandra	Calliandra haematocephala	bark	woody vegetative	woody tissue	aboveground	VGF138	VGF138_F09.mzXML	27/10/2017	Inactive
VGF138_F10	sample	V112101GP-01	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Hemarthria	Hemarthria compressa	roots	roots	root tissue	belowground	VGF138	VGF138_F10.mzXML	27/10/2017	Inactive
VGF138_F11	sample	V112117GP-01	Plantae	Tracheophyta	Liliopsida	Alismatales	Araceae	Pistia	Pistia stratiotes	roots	roots	root tissue	belowground	VGF138	VGF138_F11.mzXML	27/10/2017	Inactive
VGF138_G02	sample	V111986GP-01	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Scrophulariaceae	Buddleja	Buddleja officinalis	roots	roots	root tissue	belowground	VGF138	VGF138_G02.mzXML	27/10/2017	Inactive
VGF138_G03	sample	V112018GP-01	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Eupatorium	Eupatorium heterophyllum	multiple	multiple	multiple	aboveground	VGF138	VGF138_G03.mzXML	27/10/2017	Inactive
VGF138_G04	sample	V112031GP-01	Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae	Nicandra	Nicandra physalodes	green stems	green vegetative	green tissue	aboveground	VGF138	VGF138_G04.mzXML	27/10/2017	Inactive
VGF138_G05	sample	V112040GP-01	Plantae	Tracheophyta	Magnoliopsida	Rosales	Urticaceae	Pilea	Pilea plataniflora	leaves	photosynthetic	green tissue	aboveground	VGF138	VGF138_G05.mzXML	27/10/2017	Inactive
VGF138_G06	sample	V112056GP-01	Plantae	Tracheophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Trichosanthes	Trichosanthes ovigera	roots	roots	root tissue	belowground	VGF138	VGF138_G06.mzXML	27/10/2017	Inactive
VGF138_G07	sample	V112061GP-01	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	Vaccinium fragile	leaves	photosynthetic	green tissue	aboveground	VGF138	VGF138_G07.mzXML	27/10/2017	Inactive
VGF138_G08	sample	V112071GP-01	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Apluda	Apluda mutica	flowers	reproductive	green tissue	aboveground	VGF138	VGF138_G08.mzXML	27/10/2017	Inactive
VGF138_G09	sample	V112086GP-01	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Citrus	Citrus japonica	leaves	photosynthetic	green tissue	aboveground	VGF138	VGF138_G09.mzXML	27/10/2017	Inactive
VGF138_G10	sample	V112102GP-01	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Ichnanthus	Ichnanthus pallens	multiple	multiple	multiple	aboveground	VGF138	VGF138_G10.mzXML	27/10/2017	Inactive
VGF138_G11	sample	V112118GP-01	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Acanthaceae	Justicia	Justicia pectinata	multiple	multiple	multiple	aboveground	VGF138	VGF138_G11.mzXML	27/10/2017	Inactive
VGF138_H02	sample	V111987GP-01	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Scrophulariaceae	Buddleja	Buddleja officinalis	green stems	green vegetative	green tissue	aboveground	VGF138	VGF138_H02.mzXML	27/10/2017	Inactive
VGF138_H03	sample	V112019GP-01	Plantae	Tracheophyta	Magnoliopsida	Rosales	Moraceae	Ficus	Ficus tikoua	roots	roots	root tissue	belowground	VGF138	VGF138_H03.mzXML	27/10/2017	Inactive
VGF138_H04	sample	V112032GP-01	Plantae	Tracheophyta	Magnoliopsida	Solanales	Solanaceae	Nicandra	Nicandra physalodes	leaves	photosynthetic	green tissue	aboveground	VGF138	VGF138_H04.mzXML	27/10/2017	Inactive
VGF138_H05	sample	V112041GP-01	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Pimpinella	Pimpinella candolleana	multiple	multiple	multiple		VGF138	VGF138_H05.mzXML	27/10/2017	Inactive
VGF138_H06	sample	V112049GP-01	Plantae	Tracheophyta	Magnoliopsida	Dipsacales	Adoxaceae	Sambucus	Sambucus javanica	green stems	green vegetative	green tissue	aboveground	VGF138	VGF138_H06.mzXML	27/10/2017	Inactive
VGF138_H07	sample	V112062GP-01	Plantae	Tracheophyta	Magnoliopsida	Dipsacales	Adoxaceae	Viburnum	Viburnum foetidum	roots	roots	root tissue	belowground	VGF138	VGF138_H07.mzXML	27/10/2017	Inactive
VGF138_H08	sample	V112072GP-01	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Artabotrys	Artabotrys hexapetalus	leaves	photosynthetic	green tissue	aboveground	VGF138	VGF138_H08.mzXML	27/10/2017	Inactive
VGF138_H09	sample	V112089GP-01	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Codariocalyx	Codariocalyx gyroides	leaves	photosynthetic	green tissue	aboveground	VGF138	VGF138_H09.mzXML	27/10/2017	Inactive
VGF138_H10	sample	V112103GP-01	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Ichnanthus	Ichnanthus pallens	roots	roots	root tissue	belowground	VGF138	VGF138_H10.mzXML	27/10/2017	Inactive
VGF138_H11	sample	V112119GP-01	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Acanthaceae	Justicia	Justicia pectinata	roots	roots	root tissue	belowground	VGF138	VGF138_H11.mzXML	27/10/2017	Inactive
VGF139_A02	sample	V112261GP-01	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Pterocymbium	Pterocymbium dussaudii	woody stems	woody vegetative	woody tissue	aboveground	VGF139	VGF139_A02.mzXML	28/10/2017	Inactive
VGF139_A03	sample	V112269GP-01	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Menispermaceae	Stephania	Stephania rotunda	roots	roots	root tissue	belowground	VGF139	VGF139_A03.mzXML	28/10/2017	Inactive
VGF139_A04	sample	V112277GP-01	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Decaschistia	Decaschistia parviflora	woody stems	woody vegetative	woody tissue	aboveground	VGF139	VGF139_A04.mzXML	28/10/2017	Inactive
VGF139_A05	sample	V112285GP-01	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Aglaomorpha	Aglaomorpha bonii	woody stems	woody vegetative	woody tissue	aboveground	VGF139	VGF139_A05.mzXML	28/10/2017	Inactive
VGF139_A06	sample	V112293GP-01	Plantae	Tracheophyta	Magnoliopsida	Ericales	Lecythidaceae	Barringtonia	Barringtonia longipes	woody stems	woody vegetative	woody tissue	aboveground	VGF139	VGF139_A06.mzXML	28/10/2017	Inactive
VGF139_A07	sample	V112303GP-01	Plantae	Tracheophyta	Magnoliopsida	Vitales	Vitaceae	Cissus	Cissus triloba	multiple	multiple	multiple		VGF139	VGF139_A07.mzXML	28/10/2017	Inactive
VGF139_A08	sample	V112312GP-01	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Pachyrhizus	Pachyrhizus erosus	woody stems	woody vegetative	woody tissue	aboveground	VGF139	VGF139_A08.mzXML	28/10/2017	Inactive
VGF139_A09	sample	V112202GP-01	Plantae	Tracheophyta	Magnoliopsida	Rosales	Elaeagnaceae	Elaeagnus	Elaeagnus latifolia	roots	roots	root tissue	belowground	VGF139	VGF139_A09.mzXML	28/10/2017	Inactive
VGF139_A10	sample	V112328GP-01	Plantae	Tracheophyta	Magnoliopsida	Rosales	Moraceae	Ficus	Ficus exasperata	green stems	green vegetative	green tissue	aboveground	VGF139	VGF139_A10.mzXML	28/10/2017	Inactive
VGF139_A11	sample	V112338GP-01	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Copaifera	Copaifera salikounda	bark	woody vegetative	woody tissue	aboveground	VGF139	VGF139_A11.mzXML	28/10/2017	Inactive
VGF139_B02	sample	V112262GP-01	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Pterocymbium	Pterocymbium dussaudii	roots	roots	root tissue	belowground	VGF139	VGF139_B02.mzXML	28/10/2017	Inactive
VGF139_B03	sample	V112270GP-01	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Bambusa	Bambusa spinosa	leaves	photosynthetic	green tissue	aboveground	VGF139	VGF139_B03.mzXML	28/10/2017	Inactive
VGF139_B04	sample	V112278GP-01	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Decaschistia	Decaschistia parviflora	roots	roots	root tissue	belowground	VGF139	VGF139_B04.mzXML	28/10/2017	Inactive
VGF139_B05	sample	V112286GP-01	Plantae	Tracheophyta	Lycopodiopsida	Selaginellales	Selaginellaceae	Selaginella	Selaginella delicatula	leaves	photosynthetic	green tissue	aboveground	VGF139	VGF139_B05.mzXML	28/10/2017	Inactive
VGF139_B06	sample	V112294GP-01	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Ischaemum	Ischaemum ciliare	leaves	photosynthetic	green tissue	aboveground	VGF139	VGF139_B06.mzXML	28/10/2017	Inactive
VGF139_B07	sample	V112305GP-01	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Melodinus	Melodinus cochinchinensis	leaves	photosynthetic	green tissue	aboveground	VGF139	VGF139_B07.mzXML	28/10/2017	Inactive
VGF139_B08	sample	V112313GP-01	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Pachyrhizus	Pachyrhizus erosus	roots	roots	root tissue	belowground	VGF139	VGF139_B08.mzXML	28/10/2017	Inactive
VGF139_B09	sample	V112203GP-01	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Athyriaceae	Diplazium	Diplazium esculentum	multiple	multiple	multiple		VGF139	VGF139_B09.mzXML	28/10/2017	Inactive
VGF139_B10	sample	V112330GP-01	Plantae	Tracheophyta	Magnoliopsida	Oxalidales	Connaraceae	Cnestis	Cnestis ferruginea	green stems	green vegetative	green tissue	aboveground	VGF139	VGF139_B10.mzXML	28/10/2017	Inactive
VGF139_B11	sample	V112339GP-01	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Copaifera	Copaifera salikounda	wood	woody vegetative	woody tissue	aboveground	VGF139	VGF139_B11.mzXML	28/10/2017	Inactive
VGF139_C02	sample	V112263GP-01	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Saccharum	Saccharum arundinaceum	leaves	photosynthetic	green tissue	aboveground	VGF139	VGF139_C02.mzXML	28/10/2017	Inactive
VGF139_C03	sample	V112271GP-01	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Bambusa	Bambusa spinosa	woody stems	woody vegetative	woody tissue	aboveground	VGF139	VGF139_C03.mzXML	28/10/2017	Inactive
VGF139_C04	sample	V112279GP-01	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Polygonaceae	Persicaria	Persicaria minor	leaves	photosynthetic	green tissue	aboveground	VGF139	VGF139_C04.mzXML	28/10/2017	Inactive
VGF139_C05	sample	V112287GP-01	Plantae	Tracheophyta	Lycopodiopsida	Selaginellales	Selaginellaceae	Selaginella	Selaginella delicatula	multiple	multiple	multiple		VGF139	VGF139_C05.mzXML	28/10/2017	Inactive
VGF139_C06	sample	V112295GP-01	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Ischaemum	Ischaemum ciliare	woody stems	woody vegetative	woody tissue	aboveground	VGF139	VGF139_C06.mzXML	28/10/2017	Inactive
VGF139_C07	sample	V112306GP-01	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Melodinus	Melodinus cochinchinensis	woody stems	woody vegetative	woody tissue	aboveground	VGF139	VGF139_C07.mzXML	28/10/2017	Inactive
VGF139_C08	sample	V112315GP-01	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Menispermaceae	Tinospora	Tinospora baenzigeri	multiple	multiple	multiple		VGF139	VGF139_C08.mzXML	28/10/2017	Inactive
VGF139_C09	sample	V112322GP-01	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Meliaceae	Entandrophragma	Entandrophragma utile	bark	woody vegetative	woody tissue	aboveground	VGF139	VGF139_C09.mzXML	28/10/2017	Inactive
VGF139_C10	sample	V112332GP-01	Plantae	Tracheophyta	Magnoliopsida	Rosales	Moraceae	Trilepisium	Trilepisium madagascariensis	bark	woody vegetative	woody tissue	aboveground	VGF139	VGF139_C10.mzXML	28/10/2017	Inactive
VGF139_C11	sample	V112344GP-01	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Zanha	Zanha golungensis	bark	woody vegetative	woody tissue	aboveground	VGF139	VGF139_C11.mzXML	28/10/2017	Inactive
VGF139_D02	sample	V112264GP-01	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Saccharum	Saccharum arundinaceum	woody stems	woody vegetative	woody tissue	aboveground	VGF139	VGF139_D02.mzXML	28/10/2017	Inactive
VGF139_D03	sample	V112272GP-01	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Bambusa	Bambusa spinosa	roots	roots	root tissue	belowground	VGF139	VGF139_D03.mzXML	28/10/2017	Inactive
VGF139_D04	sample	V112280GP-01	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Polygonaceae	Persicaria	Persicaria minor	multiple	multiple	multiple		VGF139	VGF139_D04.mzXML	28/10/2017	Inactive
VGF139_D05	sample	V112288GP-01	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Anacardiaceae	Mangifera	Mangifera pentandra	leaves	photosynthetic	green tissue	aboveground	VGF139	VGF139_D05.mzXML	28/10/2017	Inactive
VGF139_D06	sample	V112296GP-01	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Ischaemum	Ischaemum ciliare	roots	roots	root tissue	belowground	VGF139	VGF139_D06.mzXML	28/10/2017	Inactive
VGF139_D07	sample	V112307GP-01	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Melodinus	Melodinus cochinchinensis	roots	roots	root tissue	belowground	VGF139	VGF139_D07.mzXML	28/10/2017	Inactive
