sample_name,ATTRIBUTE_No,ATTRIBUTE_Verger,ATTRIBUTE_Porte-greffe,ATTRIBUTE_Charge_des_arbres,ATTRIBUTE_Date_de_recolte,ATTRIBUTE_Repetition,filename
MAPP1_13_01_DDA_pos,1,FG432,EMC,High,9/20/2021,1,MAPP1_13_01_DDA_pos
MAPP1_13_02_DDA_pos,2,FG432,EMC,High,9/20/2021,2,MAPP1_13_02_DDA_pos
MAPP1_13_03_DDA_pos,3,FG432,EMC,High,9/20/2021,3,MAPP1_13_03_DDA_pos
MAPP1_13_04_DDA_pos,4,FG432,EMC,Low,9/20/2021,1,MAPP1_13_04_DDA_pos
MAPP1_13_05_DDA_pos,5,FG432,EMC,Low,9/20/2021,2,MAPP1_13_05_DDA_pos
MAPP1_13_06_DDA_pos,6,FG432,EMC,Low,9/20/2021,3,MAPP1_13_06_DDA_pos
MAPP1_13_07_DDA_pos,7,FG432,Pyriam,High,9/20/2021,1,MAPP1_13_07_DDA_pos
MAPP1_13_08_DDA_pos,8,FG432,Pyriam,High,9/20/2021,2,MAPP1_13_08_DDA_pos
MAPP1_13_09_DDA_pos,9,FG432,Pyriam,High,9/20/2021,3,MAPP1_13_09_DDA_pos
MAPP1_13_10_DDA_pos,10,FG432,Pyriam,Low,9/20/2021,1,MAPP1_13_10_DDA_pos
MAPP1_13_11_DDA_pos,11,FG432,Pyriam,Low,9/20/2021,2,MAPP1_13_11_DDA_pos
MAPP1_13_12_DDA_pos,12,FG432,Pyriam,Low,9/20/2021,3,MAPP1_13_12_DDA_pos
MAPP1_13_13_DDA_pos,13,FG432,Adams,High,9/20/2021,1,MAPP1_13_13_DDA_pos
MAPP1_13_14_DDA_pos,14,FG432,Adams,High,9/20/2021,2,MAPP1_13_14_DDA_pos
MAPP1_13_15_DDA_pos,15,FG432,Adams,High,9/20/2021,3,MAPP1_13_15_DDA_pos
MAPP1_13_16_DDA_pos,16,FG432,Adams,Low,9/20/2021,1,MAPP1_13_16_DDA_pos
MAPP1_13_17_DDA_pos,17,FG432,Adams,Low,9/20/2021,2,MAPP1_13_17_DDA_pos
MAPP1_13_18_DDA_pos,18,FG432,Adams,Low,9/20/2021,3,MAPP1_13_18_DDA_pos
MAPP1_13_19_DDA_pos,19,Comby,BA29,Normal,9/16/2021,1,MAPP1_13_19_DDA_pos
MAPP1_13_20_DDA_pos,20,Comby,BA29,Normal,9/16/2021,2,MAPP1_13_20_DDA_pos
MAPP1_13_21_DDA_pos,21,Comby,BA29,Normal,9/16/2021,3,MAPP1_13_21_DDA_pos
MAPP1_13_22_DDA_pos,22,Comby,BA29,Low,9/16/2021,1,MAPP1_13_22_DDA_pos
MAPP1_13_23_DDA_pos,23,Comby,BA29,Low,9/16/2021,2,MAPP1_13_23_DDA_pos
MAPP1_13_24_DDA_pos,24,Comby,BA29,Low,9/16/2021,3,MAPP1_13_24_DDA_pos
MAPP1_13_25_DDA_pos,25,Grens,Eline,Normal to high,9/22/2021,1,MAPP1_13_25_DDA_pos
MAPP1_13_26_DDA_pos,26,Founex,nd,Low,9/22/2021,1,MAPP1_13_26_DDA_pos
MAPP1_13_27_DDA_pos,27,FG721,BA29,Normal to high,9/22/2021,1,MAPP1_13_27_DDA_pos
MAPP1_13_28_DDA_pos,28,FG721,BA29,Normal to high,9/22/2021,2,MAPP1_13_28_DDA_pos
MAPP1_13_29_DDA_pos,29,FG721,BA29,Normal to high,9/22/2021,3,MAPP1_13_29_DDA_pos
MAPP1_13_30_DDA_pos,30,FG421,Adams,Low,9/22/2021,1,MAPP1_13_30_DDA_pos
MAPP1_13_31_DDA_pos,31,FG421,Adams,Low,9/22/2021,2,MAPP1_13_31_DDA_pos
MAPP1_13_32_DDA_pos,32,FG421,Adams,Low,9/22/2021,3,MAPP1_13_32_DDA_pos
MAPP1_13_DDA_pos_QC_3,33,QC,QC,QC,QC,QC,MAPP1_13_DDA_pos_QC_3
MAPP1_13_DDA_pos_QC_4,34,QC,QC,QC,QC,QC,MAPP1_13_DDA_pos_QC_4
MAPP1_13_DDA_pos_QC_5,35,QC,QC,QC,QC,QC,MAPP1_13_DDA_pos_QC_5
